AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","7","A","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","7","A","PUM J","1",",1941747572815533980582524271844660194175"
"2023","Elecciones Generales","23/07/23","1","7","A","VOX","71","13,78640776699029126213592233009708737864"
"2023","Elecciones Generales","23/07/23","1","7","A","PUEDE","1",",1941747572815533980582524271844660194175"
"2023","Elecciones Generales","23/07/23","1","7","A","AEEV","2",",388349514563106796116504854368932038835"
"2023","Elecciones Generales","23/07/23","1","7","A","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","7","A","SUMAR","61","11,84466019417475728155339805825242718447"
"2023","Elecciones Generales","23/07/23","1","7","B","Electores","679","100"
"2023","Elecciones Generales","23/07/23","1","7","B","Abstenciones","111","16,34756995581737849779086892488954344624"
"2023","Elecciones Generales","23/07/23","1","7","B","Votantes","568","83,65243004418262150220913107511045655376"
"2023","Elecciones Generales","23/07/23","1","7","B","Blancos","6","1,05633802816901408450704225352112676056"
"2023","Elecciones Generales","23/07/23","1","7","B","Validos","566","99,64788732394366197183098591549295774648"
"2023","Elecciones Generales","23/07/23","1","7","B","Nulos","2",",3521126760563380281690140845070422535211"
"2023","Elecciones Generales","23/07/23","1","7","B","PSOE","108","19,01408450704225352112676056338028169014"
"2023","Elecciones Generales","23/07/23","1","7","B","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","7","B","PP","323","56,86619718309859154929577464788732394366"
"2023","Elecciones Generales","23/07/23","1","7","B","PACMA","1",",1760563380281690140845070422535211267606"
"2023","Elecciones Generales","23/07/23","1","7","B","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","7","B","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","7","B","VOX","65","11,44366197183098591549295774647887323944"
"2023","Elecciones Generales","23/07/23","1","7","B","PUEDE","1",",1760563380281690140845070422535211267606"
"2023","Elecciones Generales","23/07/23","1","7","B","AEEV","2",",3521126760563380281690140845070422535211"
"2023","Elecciones Generales","23/07/23","1","7","B","RC","1",",1760563380281690140845070422535211267606"
"2023","Elecciones Generales","23/07/23","1","7","B","SUMAR","59","10,38732394366197183098591549295774647887"
"2023","Elecciones Generales","23/07/23","1","8","U","Electores","673","100"
"2023","Elecciones Generales","23/07/23","1","8","U","Abstenciones","135","20,05943536404160475482912332838038632987"
"2023","Elecciones Generales","23/07/23","1","8","U","Votantes","538","79,94056463595839524517087667161961367013"
"2023","Elecciones Generales","23/07/23","1","8","U","Blancos","4",",7434944237918215613382899628252788104089"
"2023","Elecciones Generales","23/07/23","1","8","U","Validos","534","99,25650557620817843866171003717472118959"
"2023","Elecciones Generales","23/07/23","1","8","U","Nulos","4",",7434944237918215613382899628252788104089"
"2023","Elecciones Generales","23/07/23","1","8","U","PSOE","105","19,51672862453531598513011152416356877323"
"2023","Elecciones Generales","23/07/23","1","8","U","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","8","U","PP","293","54,46096654275092936802973977695167286245"
"2023","Elecciones Generales","23/07/23","1","8","U","PACMA","2",",3717472118959107806691449814126394052045"
"2023","Elecciones Generales","23/07/23","1","8","U","PCTE","1",",1858736059479553903345724907063197026022"
"2023","Elecciones Generales","23/07/23","1","8","U","PUM J","1",",1858736059479553903345724907063197026022"
"2023","Elecciones Generales","23/07/23","1","8","U","VOX","65","12,08178438661710037174721189591078066914"
"2023","Elecciones Generales","23/07/23","1","8","U","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","8","U","AEEV","1",",1858736059479553903345724907063197026022"
"2023","Elecciones Generales","23/07/23","1","8","U","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","8","U","SUMAR","62","11,52416356877323420074349442379182156134"
"2023","Elecciones Generales","23/07/23","1","9","U","Electores","794","100"
"2023","Elecciones Generales","23/07/23","1","9","U","Abstenciones","204","25,69269521410579345088161209068010075567"
"2023","Elecciones Generales","23/07/23","1","9","U","Votantes","590","74,30730478589420654911838790931989924433"
"2023","Elecciones Generales","23/07/23","1","9","U","Blancos","7","1,18644067796610169491525423728813559322"
"2023","Elecciones Generales","23/07/23","1","9","U","Validos","587","99,49152542372881355932203389830508474576"
"2023","Elecciones Generales","23/07/23","1","9","U","Nulos","3",",5084745762711864406779661016949152542373"
"2023","Elecciones Generales","23/07/23","1","9","U","PSOE","147","24,91525423728813559322033898305084745763"
